id,title,description,content_rating,budget,genres,runtime_minutes,num_votes
tt0052357,Vertigo,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",PG,2479000.0,"['Mystery', 'Romance', 'Thriller']",128,457492
tt1832382,Jodaeiye Nader az Simin,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,PG-13,500000.0,['Drama'],123,276581
tt0095016,Die Hard,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",R,28000000.0,"['Action', 'Thriller']",132,1025065
tt0056592,To Kill a Mockingbird,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Approved,2000000.0,"['Crime', 'Drama']",129,350507
tt0070735,The Sting,Two grifters team up to pull off the ultimate con.,PG,5500000.0,"['Comedy', 'Crime', 'Drama']",129,299013
tt0097576,Indiana Jones and the Last Crusade,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",PG-13,48000000.0,"['Action', 'Adventure']",127,860056
tt0066921,A Clockwork Orange,Alex DeLarge and his droogs barbarize a decaying near-future.,R,2200000.0,"['Crime', 'Sci-Fi']",136,933023
tt0017136,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Passed,6000000.0,"['Drama', 'Sci-Fi']",153,200224
tt8579674,1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",R,95000000.0,"['Action', 'Drama', 'War']",119,764602
tt0208092,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R,6000000.0,"['Comedy', 'Crime']",102,972280
tt0119488,L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",R,35000000.0,"['Crime', 'Drama', 'Mystery']",138,656308
tt0363163,Der Untergang,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",R,13500000.0,"['Biography', 'Drama', 'History']",156,398733
tt0993846,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",R,100000000.0,"['Biography', 'Comedy', 'Crime']",180,1771025
tt5074352,Dangal,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Not Rated,700000000.0,"['Action', 'Biography', 'Drama']",161,240525
tt0040522,Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Not Rated,133000.0,['Drama'],89,191816
tt0120382,The Truman Show,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,PG,60000000.0,"['Comedy', 'Drama']",103,1359102
tt15398776,Oppenheimer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",R,100000000.0,"['Biography', 'Drama', 'History']",180,1009978
tt6966692,Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,PG-13,23000000.0,"['Biography', 'Comedy', 'Drama']",130,677168
tt1130884,Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,R,80000000.0,"['Drama', 'Mystery', 'Thriller']",138,1630494
tt0055031,Judgment at Nuremberg,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Approved,3000000.0,"['Drama', 'History', 'War']",179,96385
tt0372784,Batman Begins,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",PG-13,150000000.0,"['Action', 'Crime', 'Drama']",140,1702722
tt8503618,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",PG-13,,"['Biography', 'Drama', 'History']",160,137814
tt0059578,Per qualche dollaro in più,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,R,600000.0,"['Drama', 'Western']",132,298706
tt0075314,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",R,1300000.0,"['Crime', 'Drama']",114,1019365
tt0107290,Jurassic Park,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",PG-13,63000000.0,"['Action', 'Adventure', 'Sci-Fi']",127,1169076
